Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-25058,6/30/2016,11:53 PM,June,Thursday,TRAFFIC STOP,LB519,BPD,NO REPORT NEEDED
B16-25057,6/30/2016,11:45 PM,June,Thursday,DOMESTIC IP,LB329,BPD,NO REPORT NEEDED
B16-25056,6/30/2016,11:34 PM,June,Thursday,SUSP ACT IP,LB517,BPD,NO REPORT NEEDED
B16-25055,6/30/2016,11:31 PM,June,Thursday,TRAFFIC STOP,LB521,BPD,NO REPORT NEEDED
B16-25054,6/30/2016,11:31 PM,June,Thursday,TRAFFIC STOP,LB518,BPD,NO REPORT NEEDED
B16-25053,6/30/2016,11:27 PM,June,Thursday,TRAFFIC STOP,LB513,BPD,NO REPORT NEEDED
B16-25052,6/30/2016,11:12 PM,June,Thursday,WELFARE CHK IP,LB101,BPD,NO REPORT NEEDED
B16-25051,6/30/2016,11:11 PM,June,Thursday,DISTURBANCE IP,LB513,BPD,NO REPORT NEEDED
B16-25050,6/30/2016,11:01 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25049,6/30/2016,10:41 PM,June,Thursday,ALARM,LB305,BPD,NO REPORT NEEDED
B16-25048,6/30/2016,10:25 PM,June,Thursday,SUSP ACT IP,LB221,BPD,NO REPORT NEEDED
B16-25047,6/30/2016,10:24 PM,June,Thursday,JUVENILE,LB305,BPD,NO REPORT NEEDED
B16-25046,6/30/2016,10:20 PM,June,Thursday,ATL,LB103,BPD,NO REPORT NEEDED
B16-25044,6/30/2016,10:08 PM,June,Thursday,DOMESTIC IP,LB326,BPD,NO REPORT NEEDED
B16-25042,6/30/2016,9:56 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25043,6/30/2016,9:52 PM,June,Thursday,DOMESTIC IP,LB513,BPD,NO REPORT NEEDED
B16-25041,6/30/2016,9:41 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25040,6/30/2016,9:36 PM,June,Thursday,TRAFFIC STOP,LB519,BPD,REPORT NEEDED
B16-25045,6/30/2016,9:31 PM,June,Thursday,VEH THEFT NP,LB102,BPD,NO REPORT NEEDED
B16-25038,6/30/2016,9:19 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25036,6/30/2016,9:13 PM,June,Thursday,FOLLOW UP,LB513,BPD,NO REPORT NEEDED
B16-25037,6/30/2016,9:11 PM,June,Thursday,SERVICE IP,LB310,BPD,NO REPORT NEEDED
B16-25035,6/30/2016,9:08 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25034,6/30/2016,9:03 PM,June,Thursday,SUSP ACT IP,LB336,BPD,NO REPORT NEEDED
B16-25031,6/30/2016,8:59 PM,June,Thursday,SUSP ACT IP,LB517,BPD,NO REPORT NEEDED
B16-25030,6/30/2016,8:59 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25039,6/30/2016,8:58 PM,June,Thursday,ANIMAL,LB304,BPD,NO REPORT NEEDED
B16-25029,6/30/2016,8:54 PM,June,Thursday,WELFARE CHK IP,LB512,BPD,NO REPORT NEEDED
B16-25028,6/30/2016,8:50 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25027,6/30/2016,8:48 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25032,6/30/2016,8:44 PM,June,Thursday,THEFT NP,LB305,BPD,NO REPORT NEEDED
B16-25033,6/30/2016,8:37 PM,June,Thursday,PROPERTY,LB313,BPD,NO REPORT NEEDED
B16-25024,6/30/2016,8:28 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25025,6/30/2016,8:27 PM,June,Thursday,THEFT NP,LB213,BPD,REPORT NEEDED
B16-25023,6/30/2016,8:23 PM,June,Thursday,WELFARE CHK IP,LB524,BPD,REPORT NEEDED
B16-25026,6/30/2016,8:20 PM,June,Thursday,HARASSMENT NP,LB104,BPD,NO REPORT NEEDED
B16-25022,6/30/2016,8:14 PM,June,Thursday,FOLLOW UP,LB317,BPD,NO REPORT NEEDED
B16-25021,6/30/2016,8:10 PM,June,Thursday,WARRANT SERVICE,LB517,BPD,NO REPORT NEEDED
B16-25018,6/30/2016,7:57 PM,June,Thursday,BURGLARY NP,LB212,BPD,NO REPORT NEEDED
B16-25019,6/30/2016,7:56 PM,June,Thursday,ALARM,LB104,BPD,
B16-25020,6/30/2016,7:55 PM,June,Thursday,WELFARE CHK IP,LB405,BPD,NO REPORT NEEDED
B16-25015,6/30/2016,7:36 PM,June,Thursday,TRAFFIC STOP,LB518,BPD,NO REPORT NEEDED
B16-25016,6/30/2016,7:32 PM,June,Thursday,WELFARE CHK IP,LB310,BPD,NO REPORT NEEDED
B16-25017,6/30/2016,7:15 PM,June,Thursday,ATL,LB305,BPD,NO REPORT NEEDED
B16-25014,6/30/2016,6:56 PM,June,Thursday,ALARM,LB416,BPD,NO REPORT NEEDED
B16-25013,6/30/2016,6:52 PM,June,Thursday,DISTURBANCE IP,LB514,BPD,REPORT NEEDED
B16-25012,6/30/2016,6:42 PM,June,Thursday,EXTRA PATROL,LB410,BPD,NO REPORT NEEDED
B16-25009,6/30/2016,6:16 PM,June,Thursday,RECOVERED VT,LMS04,BPD,NO REPORT NEEDED
B16-25010,6/30/2016,6:15 PM,June,Thursday,WELFARE CHK IP,LB102,BPD,NO REPORT NEEDED
B16-25008,6/30/2016,6:00 PM,June,Thursday,CIVIL IP,LB317,BPD,NO REPORT NEEDED
B16-25007,6/30/2016,5:50 PM,June,Thursday,ACCIDENT PD IP,LB427,BPD,REPORT NEEDED
B16-25006,6/30/2016,5:35 PM,June,Thursday,VANDALISM IP,LB423,BPD,REPORT NEEDED
B16-25005,6/30/2016,5:16 PM,June,Thursday,ACCIDENT PD IP,LB409,BPD,NO REPORT NEEDED
B16-25004,6/30/2016,5:12 PM,June,Thursday,THEFT IP,LB310,BPD,NO REPORT NEEDED
B16-25003,6/30/2016,5:09 PM,June,Thursday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-25002,6/30/2016,4:49 PM,June,Thursday,DOMESTIC IP,LB101,BPD,REPORT NEEDED
B16-25001,6/30/2016,4:47 PM,June,Thursday,TRAFFIC STOP,LB104,BPD,NO REPORT NEEDED
B16-25000,6/30/2016,4:24 PM,June,Thursday,SERVICE IP,LB423,BPD,NO REPORT NEEDED
B16-24999,6/30/2016,4:23 PM,June,Thursday,MOTORIST ASSIST,LB427,BPD,NO REPORT NEEDED
B16-24998,6/30/2016,4:11 PM,June,Thursday,DRUNK,LB104,BPD,NO REPORT NEEDED
B16-24997,6/30/2016,4:08 PM,June,Thursday,ACCIDENT PD IP,LB516,BPD,NO REPORT NEEDED
B16-24996,6/30/2016,4:07 PM,June,Thursday,TRAFFIC STOP,LB103,BPD,NO REPORT NEEDED
B16-24995,6/30/2016,4:02 PM,June,Thursday,TRAFFIC STOP,LB402,BPD,NO REPORT NEEDED
B16-24994,6/30/2016,3:58 PM,June,Thursday,FIGHT IP,LB410,BPD,NO REPORT NEEDED
B16-24993,6/30/2016,3:51 PM,June,Thursday,THEFT NP,LB102,BPD,NO REPORT NEEDED
B16-24992,6/30/2016,3:40 PM,June,Thursday,SUSP ACT IP,LB319,BPD,NO REPORT NEEDED
B16-24991,6/30/2016,3:39 PM,June,Thursday,TRAFFIC STOP,LB422,BPD,NO REPORT NEEDED
B16-24990,6/30/2016,3:34 PM,June,Thursday,SUSP ACT IP,LB517,BPD,NO REPORT NEEDED
B16-24987,6/30/2016,3:15 PM,June,Thursday,ASSIGNED DETAIL,,BPD,
B16-24986,6/30/2016,3:12 PM,June,Thursday,MOTORIST ASSIST,,BPD,NO REPORT NEEDED
B16-24988,6/30/2016,3:12 PM,June,Thursday,DISTURBANCE IP,LB514,BPD,NO REPORT NEEDED
B16-24989,6/30/2016,3:10 PM,June,Thursday,COV,LB517,BPD,NO REPORT NEEDED
B16-24985,6/30/2016,3:10 PM,June,Thursday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-24984,6/30/2016,2:52 PM,June,Thursday,ACCIDENT PD IP,LB303,BPD,NO REPORT NEEDED
B16-24983,6/30/2016,2:51 PM,June,Thursday,WELFARE CHK IP,LB517,BPD,NO REPORT NEEDED
B16-24982,6/30/2016,2:50 PM,June,Thursday,TRESPASS IP,LB104,BPD,NO REPORT NEEDED
B16-24980,6/30/2016,2:38 PM,June,Thursday,ATL,LB304,BPD,NO REPORT NEEDED
B16-24977,6/30/2016,2:30 PM,June,Thursday,MOTORIST ASSIST,LB406,BPD,NO REPORT NEEDED
B16-25011,6/30/2016,2:28 PM,June,Thursday,FOLLOW UP,LB412,BPD,NO REPORT NEEDED
B16-24976,6/30/2016,2:22 PM,June,Thursday,ACCIDENT PD IP,LB406,BPD,NO REPORT NEEDED
B16-24979,6/30/2016,2:14 PM,June,Thursday,ROBBERY IP,LE03,BPD,
B16-24981,6/30/2016,1:55 PM,June,Thursday,SERVICE NP,LB415,BPD,NO REPORT NEEDED
B16-24972,6/30/2016,1:42 PM,June,Thursday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-24974,6/30/2016,1:40 PM,June,Thursday,THEFT NP,LB326,BPD,REPORT NEEDED
B16-24978,6/30/2016,1:39 PM,June,Thursday,THEFT NP,LB305,BPD,REPORT NEEDED
B16-24975,6/30/2016,1:32 PM,June,Thursday,ABANDONED VEH,LB314,BPD,NO REPORT NEEDED
B16-24971,6/30/2016,1:09 PM,June,Thursday,ACCIDENT PD IP,LB221,BPD,REPORT NEEDED
B16-24968,6/30/2016,1:05 PM,June,Thursday,SERVICE NP,LB104,BPD,
B16-24967,6/30/2016,12:56 PM,June,Thursday,EXTRA PATROL,LB102,BPD,NO REPORT NEEDED
B16-24966,6/30/2016,12:50 PM,June,Thursday,SERVICE IP,LB517,BPD,NO REPORT NEEDED
B16-24969,6/30/2016,12:50 PM,June,Thursday,WEAPONS NP,LB514,BPD,REPORT NEEDED
B16-24973,6/30/2016,12:47 PM,June,Thursday,DRUGS NP,LB327,BPD,NO REPORT NEEDED
B16-24965,6/30/2016,12:38 PM,June,Thursday,HARASSMENT NP,LB305,BPD,NO REPORT NEEDED
B16-24970,6/30/2016,12:37 PM,June,Thursday,CIVIL NP,LB421,BPD,NO REPORT NEEDED
B16-24964,6/30/2016,12:31 PM,June,Thursday,ACCIDENT PI,LB406,BPD,NO REPORT NEEDED
B16-24963,6/30/2016,12:20 PM,June,Thursday,WELFARE CHK IP,LB325,BPD,NO REPORT NEEDED
B16-24961,6/30/2016,12:16 PM,June,Thursday,ACCIDENT LSA IP,LB406,BPD,NO REPORT NEEDED
B16-24962,6/30/2016,12:11 PM,June,Thursday,PANHANDLING,LB221,BPD,NO REPORT NEEDED
B16-24960,6/30/2016,12:10 PM,June,Thursday,ACCIDENT PD IP,LB221,BPD,REPORT NEEDED
B16-24959,6/30/2016,12:09 PM,June,Thursday,DISTURBANCE IP,LB513,BPD,NO REPORT NEEDED
B16-24956,6/30/2016,11:46 AM,June,Thursday,FOLLOW UP,LB221,BPD,NO REPORT NEEDED
B16-24958,6/30/2016,11:37 AM,June,Thursday,FOLLOW UP,LB409,BPD,REPORT NEEDED
B16-24955,6/30/2016,11:25 AM,June,Thursday,EXTRA PATROL,LB314,BPD,NO REPORT NEEDED
B16-24954,6/30/2016,11:13 AM,June,Thursday,FIGHT IP,LB410,BPD,NO REPORT NEEDED
B16-24950,6/30/2016,10:35 AM,June,Thursday,SERVICE IP,LB517,BPD,NO REPORT NEEDED
B16-24951,6/30/2016,10:34 AM,June,Thursday,DRUGS IP,LB326,BPD,NO REPORT NEEDED
B16-24952,6/30/2016,10:22 AM,June,Thursday,THEFT NP,LB326,BPD,REPORT NEEDED
B16-24953,6/30/2016,10:19 AM,June,Thursday,DRUGS IP,LB513,BPD,NO REPORT NEEDED
B16-24949,6/30/2016,10:14 AM,June,Thursday,TRESPASS IP,LB326,BPD,NO REPORT NEEDED
B16-24948,6/30/2016,10:09 AM,June,Thursday,ACCIDENT LSA NP,LB523,BPD,REPORT NEEDED
B16-24947,6/30/2016,10:01 AM,June,Thursday,ACCIDENT PD IP,LB432,BPD,REPORT NEEDED
B16-24957,6/30/2016,9:53 AM,June,Thursday,ABANDONED VEH,LB524,BPD,NO REPORT NEEDED
B16-24946,6/30/2016,9:46 AM,June,Thursday,ASSAULT NP,LB221,BPD,REPORT NEEDED
B16-24944,6/30/2016,9:38 AM,June,Thursday,SERVICE IP,LB102,BPD,NO REPORT NEEDED
B16-24942,6/30/2016,9:10 AM,June,Thursday,THEFT NP,LB313,BPD,REPORT NEEDED
B16-24945,6/30/2016,9:07 AM,June,Thursday,ABANDONED VEH,LB314,BPD,NO REPORT NEEDED
B16-24941,6/30/2016,8:56 AM,June,Thursday,WELFARE CHK IP,LB220,BPD,NO REPORT NEEDED
B16-24943,6/30/2016,8:55 AM,June,Thursday,RUNAWAY,LB517,BPD,REPORT NEEDED
B16-24940,6/30/2016,8:52 AM,June,Thursday,ASSIGNED DETAIL,LB103,BPD,NO REPORT NEEDED
B16-24939,6/30/2016,8:44 AM,June,Thursday,TRAFFIC STOP,LB311,BPD,NO REPORT NEEDED
B16-24938,6/30/2016,8:36 AM,June,Thursday,HARASSMENT NP,LB409,BPD,REPORT NEEDED
B16-24936,6/30/2016,8:34 AM,June,Thursday,TRAFFIC STOP,LB410,BPD,NO REPORT NEEDED
B16-24937,6/30/2016,8:34 AM,June,Thursday,BURGLARY NP,LB104,BPD,REPORT NEEDED
B16-24935,6/30/2016,8:29 AM,June,Thursday,EXTRA PATROL,LB410,BPD,NO REPORT NEEDED
B16-24933,6/30/2016,8:23 AM,June,Thursday,WELFARE CHK IP,LB101,BPD,NO REPORT NEEDED
B16-24934,6/30/2016,8:23 AM,June,Thursday,ACCIDENT PD IP,LB416,BPD,REPORT NEEDED
B16-24932,6/30/2016,8:06 AM,June,Thursday,TRAFFIC HAZARD,LB421,BPD,NO REPORT NEEDED
B16-24931,6/30/2016,8:04 AM,June,Thursday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-24930,6/30/2016,7:53 AM,June,Thursday,DUI,LMS27,BPD,NO REPORT NEEDED
B16-24929,6/30/2016,7:37 AM,June,Thursday,ACCIDENT PD IP,LB103,BPD,NO REPORT NEEDED
B16-24927,6/30/2016,7:19 AM,June,Thursday,THEFT NP,LB102,BPD,REPORT NEEDED
B16-24928,6/30/2016,7:18 AM,June,Thursday,HARASSMENT NP,LB336,BPD,REPORT NEEDED
B16-24926,6/30/2016,7:05 AM,June,Thursday,DRUGS NP,LB513,BPD,NO REPORT NEEDED
B16-24925,6/30/2016,6:58 AM,June,Thursday,ATL,LB523,BPD,NO REPORT NEEDED
B16-24924,6/30/2016,6:01 AM,June,Thursday,MENTAL HEALTH,LB102,BPD,NO REPORT NEEDED
B16-24923,6/30/2016,5:48 AM,June,Thursday,WELFARE CHK IP,LB221,BPD,NO REPORT NEEDED
B16-24922,6/30/2016,5:41 AM,June,Thursday,SUSP ACT IP,LB513,BPD,NO REPORT NEEDED
B16-24921,6/30/2016,5:37 AM,June,Thursday,ASSIGNED DETAIL,LB503,BPD,NO REPORT NEEDED
B16-24920,6/30/2016,4:39 AM,June,Thursday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-24919,6/30/2016,4:17 AM,June,Thursday,ALARM,LB104,BPD,NO REPORT NEEDED
B16-24918,6/30/2016,3:36 AM,June,Thursday,SUSP ACT IP,LB510,BPD,NO REPORT NEEDED
B16-24917,6/30/2016,2:47 AM,June,Thursday,SUSP ACT NP,LB415,BPD,NO REPORT NEEDED
B16-24916,6/30/2016,2:39 AM,June,Thursday,DOMESTIC IP,LB424,BPD,NO REPORT NEEDED
B16-24915,6/30/2016,2:38 AM,June,Thursday,SUSP ACT IP,LB104,BPD,NO REPORT NEEDED
B16-24914,6/30/2016,2:11 AM,June,Thursday,BLDG CHECK,LB513,BPD,NO REPORT NEEDED
B16-24913,6/30/2016,2:08 AM,June,Thursday,DOMESTIC IP,LB404,BPD,REPORT NEEDED
B16-24912,6/30/2016,1:50 AM,June,Thursday,TRAFFIC STOP,LB305,BPD,NO REPORT NEEDED
B16-24911,6/30/2016,1:46 AM,June,Thursday,THEFT IP,LB403,BPD,REPORT NEEDED
B16-24910,6/30/2016,1:38 AM,June,Thursday,FIREWORKS,LB518,BPD,NO REPORT NEEDED
B16-24909,6/30/2016,1:13 AM,June,Thursday,NOISE,LB316,BPD,NO REPORT NEEDED
B16-24908,6/30/2016,1:08 AM,June,Thursday,TRAFFIC STOP,LB310,BPD,NO REPORT NEEDED
B16-24907,6/30/2016,12:58 AM,June,Thursday,TRAFFIC STOP,LB512,BPD,NO REPORT NEEDED
B16-24906,6/30/2016,12:51 AM,June,Thursday,TRAFFIC STOP,LB509,BPD,NO REPORT NEEDED
B16-24904,6/30/2016,12:39 AM,June,Thursday,WELFARE CHK IP,LB102,BPD,NO REPORT NEEDED
B16-24903,6/30/2016,12:34 AM,June,Thursday,FOLLOW UP,LB213,BPD,NO REPORT NEEDED
B16-24902,6/30/2016,12:30 AM,June,Thursday,TRAFFIC STOP,LB524,BPD,NO REPORT NEEDED
B16-24905,6/30/2016,12:28 AM,June,Thursday,WELFARE CHK IP,LB415,BPD,NO REPORT NEEDED
B16-24900,6/30/2016,12:21 AM,June,Thursday,TRAFFIC STOP,LB315,BPD,NO REPORT NEEDED
B16-24901,6/30/2016,12:05 AM,June,Thursday,NOISE,LB303,BPD,NO REPORT NEEDED
B16-24897,6/29/2016,11:57 PM,June,Wednesday,SERVICE IP,LB511,BPD,
B16-24895,6/29/2016,11:48 PM,June,Wednesday,SERVICE IP,LB511,BPD,NO REPORT NEEDED
B16-24894,6/29/2016,11:48 PM,June,Wednesday,WARRANT SERVICE,LB513,BPD,NO REPORT NEEDED
B16-24896,6/29/2016,11:47 PM,June,Wednesday,WELFARE CHK IP,LB416,BPD,REPORT NEEDED
B16-24893,6/29/2016,11:40 PM,June,Wednesday,TRAFFIC STOP,LB307,BPD,NO REPORT NEEDED
B16-24892,6/29/2016,11:38 PM,June,Wednesday,TRAFFIC STOP,LB102,BPD,NO REPORT NEEDED
B16-24891,6/29/2016,11:35 PM,June,Wednesday,DOMESTIC IP,LB424,BPD,NO REPORT NEEDED
B16-24890,6/29/2016,11:29 PM,June,Wednesday,FOLLOW UP,LB424,BPD,NO REPORT NEEDED
B16-24889,6/29/2016,11:09 PM,June,Wednesday,FIREWORKS,LB326,BPD,NO REPORT NEEDED
B16-24888,6/29/2016,11:07 PM,June,Wednesday,DOMESTIC IP,LB424,BPD,NO REPORT NEEDED
B16-24887,6/29/2016,11:03 PM,June,Wednesday,ALARM,LB302,BPD,NO REPORT NEEDED
B16-24885,6/29/2016,10:52 PM,June,Wednesday,TRAFFIC STOP,LB221,BPD,NO REPORT NEEDED
B16-24883,6/29/2016,10:48 PM,June,Wednesday,SUSP ACT IP,LB102,BPD,NO REPORT NEEDED
B16-24898,6/29/2016,10:45 PM,June,Wednesday,NOISE,LB507,BPD,NO REPORT NEEDED
B16-24884,6/29/2016,10:43 PM,June,Wednesday,ASSAULT NP,LB308,BPD,REPORT NEEDED
B16-24886,6/29/2016,10:43 PM,June,Wednesday,WELFARE CHK IP,LB415,BPD,NO REPORT NEEDED
B16-24899,6/29/2016,10:31 PM,June,Wednesday,NOISE,LB513,BPD,NO REPORT NEEDED
B16-24882,6/29/2016,10:31 PM,June,Wednesday,FRAUD,LB212,BPD,REPORT NEEDED
B16-24881,6/29/2016,10:28 PM,June,Wednesday,SUSP ACT IP,LB212,BPD,REPORT NEEDED
B16-24879,6/29/2016,10:08 PM,June,Wednesday,WEAPONS IP,LB519,BPD,NO REPORT NEEDED
B16-24880,6/29/2016,10:06 PM,June,Wednesday,SUSP ACT NP,LB104,BPD,NO REPORT NEEDED
B16-24878,6/29/2016,9:55 PM,June,Wednesday,FRAUD,LB331,BPD,REPORT NEEDED
B16-24875,6/29/2016,9:23 PM,June,Wednesday,TRAFFIC STOP,LB511,BPD,NO REPORT NEEDED
B16-24876,6/29/2016,9:18 PM,June,Wednesday,WELFARE CHK IP,LB410,BPD,NO REPORT NEEDED
B16-24877,6/29/2016,9:10 PM,June,Wednesday,NOISE,LB404,BPD,NO REPORT NEEDED
B16-24874,6/29/2016,9:07 PM,June,Wednesday,THEFT NP,LB422,BPD,REPORT NEEDED
B16-24872,6/29/2016,9:05 PM,June,Wednesday,TRAFFIC STOP,LB518,BPD,NO REPORT NEEDED
B16-24873,6/29/2016,8:56 PM,June,Wednesday,HARASSMENT NP,LB517,BPD,NO REPORT NEEDED
B16-24870,6/29/2016,8:34 PM,June,Wednesday,TRAFFIC STOP,LMS29,BPD,NO REPORT NEEDED
B16-24871,6/29/2016,8:31 PM,June,Wednesday,HARASSMENT IP,LB313,BPD,NO REPORT NEEDED
B16-24869,6/29/2016,8:16 PM,June,Wednesday,SUSP ACT IP,LB524,BPD,NO REPORT NEEDED
B16-24868,6/29/2016,7:58 PM,June,Wednesday,WELFARE CHK IP,LB427,BPD,NO REPORT NEEDED
B16-24867,6/29/2016,7:50 PM,June,Wednesday,JUVENILE,LB523,BPD,NO REPORT NEEDED
B16-24866,6/29/2016,7:49 PM,June,Wednesday,DOMESTIC IP,LB102,BPD,NO REPORT NEEDED
B16-24864,6/29/2016,7:13 PM,June,Wednesday,ALARM,LB518,BPD,NO REPORT NEEDED
B16-24863,6/29/2016,7:10 PM,June,Wednesday,ATL,LB422,BPD,NO REPORT NEEDED
B16-24865,6/29/2016,7:07 PM,June,Wednesday,SERVICE IP,LB326,BPD,NO REPORT NEEDED
B16-24862,6/29/2016,7:04 PM,June,Wednesday,DOMESTIC IP,LB517,BPD,REPORT NEEDED
B16-24861,6/29/2016,7:00 PM,June,Wednesday,THEFT IP,LB307,BPD,NO REPORT NEEDED
B16-24860,6/29/2016,6:45 PM,June,Wednesday,ACCIDENT PD IP,LB302,BPD,NO REPORT NEEDED
B16-24858,6/29/2016,6:34 PM,June,Wednesday,PANHANDLING,LB104,BPD,NO REPORT NEEDED
B16-24859,6/29/2016,6:30 PM,June,Wednesday,HARASSMENT NP,LB520,BPD,NO REPORT NEEDED
B16-24857,6/29/2016,6:21 PM,June,Wednesday,ANIMAL,LB316,BPD,NO REPORT NEEDED
B16-24856,6/29/2016,6:12 PM,June,Wednesday,FRAUD,LB211,BPD,REPORT NEEDED
B16-24855,6/29/2016,6:11 PM,June,Wednesday,BURGLARY NP,LB213,BPD,REPORT NEEDED
B16-24854,6/29/2016,6:01 PM,June,Wednesday,ACCIDENT LSA IP,LB314,BPD,REPORT NEEDED
B16-24852,6/29/2016,5:56 PM,June,Wednesday,DRUNK,LB423,BPD,NO REPORT NEEDED
B16-24853,6/29/2016,5:54 PM,June,Wednesday,SUSP ACT NP,LB506,BPD,NO REPORT NEEDED
B16-24851,6/29/2016,5:50 PM,June,Wednesday,DISTURBANCE IP,LB514,BPD,NO REPORT NEEDED
B16-24850,6/29/2016,5:44 PM,June,Wednesday,DOMESTIC IP,LB403,BPD,NO REPORT NEEDED
B16-24848,6/29/2016,5:27 PM,June,Wednesday,TRESPASS IP,LB513,BPD,REPORT NEEDED
B16-24849,6/29/2016,5:21 PM,June,Wednesday,JUVENILE,LB520,BPD,NO REPORT NEEDED
B16-24847,6/29/2016,5:19 PM,June,Wednesday,TRAFFIC STOP,LIU14,BPD,NO REPORT NEEDED
B16-24846,6/29/2016,5:11 PM,June,Wednesday,DRUGS IP,LB513,BPD,REPORT NEEDED
B16-24845,6/29/2016,5:03 PM,June,Wednesday,ASSAULT IP,LB102,BPD,NO REPORT NEEDED
B16-24844,6/29/2016,5:00 PM,June,Wednesday,VEH THEFT IP,LB421,BPD,NO REPORT NEEDED
B16-24843,6/29/2016,4:52 PM,June,Wednesday,FOLLOW UP,LB515,BPD,NO REPORT NEEDED
B16-24842,6/29/2016,4:50 PM,June,Wednesday,FOLLOW UP,LB104,BPD,NO REPORT NEEDED
B16-24841,6/29/2016,4:41 PM,June,Wednesday,ACCIDENT PD IP,LB525,BPD,NO REPORT NEEDED
B16-24840,6/29/2016,4:38 PM,June,Wednesday,FOLLOW UP,LB512,BPD,NO REPORT NEEDED
B16-24839,6/29/2016,4:36 PM,June,Wednesday,EXTRA PATROL,LB410,BPD,REPORT NEEDED
B16-24838,6/29/2016,4:31 PM,June,Wednesday,TRESPASS IP,LB520,BPD,NO REPORT NEEDED
B16-24836,6/29/2016,4:08 PM,June,Wednesday,TRAFFIC STOP,LB102,BPD,NO REPORT NEEDED
B16-24837,6/29/2016,4:06 PM,June,Wednesday,ALARM,LB512,BPD,NO REPORT NEEDED
B16-24835,6/29/2016,3:57 PM,June,Wednesday,TRAFFIC STOP,LB523,BPD,NO REPORT NEEDED
B16-24834,6/29/2016,3:53 PM,June,Wednesday,TRAFFIC STOP,LB313,BPD,NO REPORT NEEDED
B16-24833,6/29/2016,3:47 PM,June,Wednesday,THEFT IP,LB515,BPD,REPORT NEEDED
B16-24832,6/29/2016,3:44 PM,June,Wednesday,CIVIL NP,LB214,BPD,NO REPORT NEEDED
B16-24831,6/29/2016,3:33 PM,June,Wednesday,TRAFFIC STOP,LB519,BPD,NO REPORT NEEDED
B16-24830,6/29/2016,3:29 PM,June,Wednesday,TRAFFIC STOP,LB509,BPD,NO REPORT NEEDED
B16-24828,6/29/2016,3:28 PM,June,Wednesday,FOLLOW UP,LB434,BPD,NO REPORT NEEDED
B16-24829,6/29/2016,3:27 PM,June,Wednesday,EXTRA PATROL,LB313,BPD,NO REPORT NEEDED
B16-24825,6/29/2016,3:13 PM,June,Wednesday,DISTURBANCE IP,LB102,BPD,NO REPORT NEEDED
B16-24826,6/29/2016,3:12 PM,June,Wednesday,DISTURBANCE IP,LB102,BPD,NO REPORT NEEDED
B16-24824,6/29/2016,3:09 PM,June,Wednesday,TRAFFIC STOP,LB417,BPD,NO REPORT NEEDED
B16-24827,6/29/2016,3:06 PM,June,Wednesday,SERVICE NP,LB423,BPD,NO REPORT NEEDED
B16-24823,6/29/2016,3:05 PM,June,Wednesday,FOLLOW UP,LB336,BPD,NO REPORT NEEDED
B16-24822,6/29/2016,3:00 PM,June,Wednesday,SUSP ACT IP,LB404,BPD,NO REPORT NEEDED
B16-24821,6/29/2016,2:49 PM,June,Wednesday,WEAPONS IP,LB523,BPD,NO REPORT NEEDED
B16-24820,6/29/2016,2:40 PM,June,Wednesday,DISTURBANCE IP,LB410,BPD,NO REPORT NEEDED
B16-24819,6/29/2016,2:38 PM,June,Wednesday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-24818,6/29/2016,2:25 PM,June,Wednesday,ACCIDENT PD IP,LB222,BPD,NO REPORT NEEDED
B16-24817,6/29/2016,2:08 PM,June,Wednesday,ACCIDENT PD IP,LB422,BPD,NO REPORT NEEDED
B16-24816,6/29/2016,2:06 PM,June,Wednesday,THEFT NP,LB104,BPD,REPORT NEEDED
B16-24815,6/29/2016,2:02 PM,June,Wednesday,TRESPASS IP,LB410,BPD,NO REPORT NEEDED
B16-24814,6/29/2016,2:01 PM,June,Wednesday,TRAFFIC HAZARD,LB305,BPD,NO REPORT NEEDED
B16-24811,6/29/2016,1:43 PM,June,Wednesday,DISTURBANCE IP,LB316,BPD,NO REPORT NEEDED
B16-24812,6/29/2016,1:42 PM,June,Wednesday,SUSP ACT IP,LB307,BPD,NO REPORT NEEDED
B16-24813,6/29/2016,1:41 PM,June,Wednesday,HARASSMENT NP,LB104,BPD,NO REPORT NEEDED
